"X","n","Pi","Fehler","Operationen","Laufzeit","k","sd","var"
4,18873,3.13739204154083,0.00420061204896772,74019,16.4375305175781,5,0.0136881737509215,0.000187366100635416
5,22122,3.16318596871892,0.0215933151291291,87474,33.3395004272461,5,0.0110127033680221,0.000121279635472046
6,25929,3.14828955995218,0.00669690636238386,102044,33.5962772369385,5,0.00747372194897741,5.58565197706267e-05
7,30391,3.12197690105623,0.0196157525335595,118604,47.9974746704102,5,0.0135462124197493,0.00018349987092097
8,35622,3.13862219976419,0.00297045382560257,139759,35.1085662841797,5,0.0106690817822255,0.000113829306075816
9,41753,3.14161856633056,2.59127407698348e-05,163969,66.6608810424805,5,0.00638948839888021,4.08255619994248e-05
10,48939,3.14881791618137,0.0072252625915754,192629,67.0783519744873,5,0.00829452752755447,6.87991869053588e-05
11,57361,3.15315283903698,0.0115601854471831,226089,66.7281150817871,5,0.00993396141104189,9.86835893160693e-05
12,67233,3.1458361221424,0.00424346855260707,264384,100.069522857666,5,0.00667910247156906,4.46104098257199e-05
13,78804,3.14232780061926,0.000735147029464667,309539,99.8721122741699,5,0.00655714213104045,4.29961129266657e-05
14,92367,3.13583855706042,0.00575409652937123,362064,128.963470458984,5,0.00335816783171773,1.12772911859837e-05
15,108263,3.13602985322779,0.00556280036200535,424399,128.467082977295,5,0.00612584353004378,3.75259589545793e-05
16,126896,3.13995713024839,0.00163552334140085,498064,157.086133956909,5,0.00408484408376809,1.66859511886952e-05
17,148735,3.14320099505833,0.00160834146853197,584384,172.949075698853,5,0.00320314642006448,1.02601469883719e-05
18,174332,3.14751164444852,0.00591899085873027,685894,196.431398391724,5,0.0035181880183954,1.2377646932781e-05
19,204335,3.13931534000538,0.00227731358440992,801844,212.028741836548,5,0.00409325900321617,1.67547692674103e-05
20,239502,3.14823258260891,0.00663992901912026,942514,250.646114349365,5,0.00366498534143714,1.34321175529491e-05
21,280721,3.14638377606235,0.00479112247256049,1104074,314.397096633911,5,0.00259250479197437,6.72108109641006e-06
22,329034,3.14061160852678,0.000981045063014851,1291714,361.01245880127,5,0.00186870594123173,3.49206189479476e-06
23,385662,3.14105097209474,0.000541681495057434,1514234,456.585884094238,5,0.00278743061843369,7.7697694525816e-06
24,452035,3.13923479376597,0.00235785982382379,1773809,486.803531646729,5,0.0025331843397834,6.41702289932384e-06
25,529831,3.14063163537052,0.00096101821926943,2080009,535.571098327637,5,0.00190266469243363,3.62013293183357e-06
26,621016,3.14210905999201,0.00051640640221985,2439129,645.327806472778,5,0.00219526229072764,4.81917652509077e-06
27,727895,3.13897471475968,0.00261793883010949,2856059,707.998752593994,5,0.00192242679655581,3.69572478811584e-06
28,853167,3.14236720360727,0.000774550017472397,3351209,831.366300582886,5,0.0021627488836013,4.67748273351869e-06
29,1000000,3.140272,0.00132065358979324,3925344,992.01512336731,5,0.00138763299662887,1.92552533333323e-06
0,10000,3.1236,0.0179926535897932,39049,15.5050754547119,6,0.00902106177539844,8.13795555555549e-05
1,11721,3.16696527600034,0.025372622410548,46404,15.6264305114746,6,0.0140985787118496,0.000198769921694219
2,13738,3.16552627747853,0.0239336238887335,54364,0,6,0.0182829468340128,0.000334266144935337
3,16102,3.15588125698671,0.0142886033969165,63524,15.6228542327881,6,0.0134533755211227,0.000180993312912345
4,18873,3.14163090128755,3.82476977604096e-05,74119,15.6233310699463,6,0.0136881737509215,0.000187366100635416
5,22122,3.13823343278185,0.00335922080794711,86784,31.2471389770508,6,0.0110127033680221,0.000121279635472046
6,25929,3.14227313047167,0.000680476881879406,101849,22.148609161377,6,0.00747372194897741,5.58565197706267e-05
7,30391,3.14119311638314,0.000399537206653493,119334,25.2430438995361,6,0.0135462124197493,0.00018349987092097
8,35622,3.12997585761608,0.0116167959737133,139374,31.6271781921387,6,0.0106690817822255,0.000113829306075816
9,41753,3.13864871985247,0.00294393373732755,163814,47.2588539123535,6,0.00638948839888021,4.08255619994248e-05
10,48939,3.15625574695028,0.0146630933604918,193084,46.8728542327881,6,0.00829452752755447,6.87991869053588e-05
11,57361,3.14994508463939,0.00835243104959589,225859,49.3936538696289,6,0.00993396141104189,9.86835893160693e-05
12,67233,3.13863727633751,0.00295537725228041,263779,60.6620311737061,6,0.00667910247156906,4.46104098257199e-05
13,78804,3.14435815440841,0.00276550081861243,309739,78.6736011505127,6,0.00655714213104045,4.29961129266657e-05
14,92367,3.13592516807951,0.00566748551028432,362074,94.6965217590332,6,0.00335816783171773,1.12772911859837e-05
15,108263,3.1371752122147,0.00441744137509385,424554,110.300540924072,6,0.00612584353004378,3.75259589545793e-05
16,126896,3.1413440928004,0.000248560789389758,498284,125.7643699646,6,0.00408484408376809,1.66859511886952e-05
17,148735,3.14029650048744,0.00129615310234913,583844,130.961418151855,6,0.00320314642006448,1.02601469883719e-05
18,174332,3.1359245577404,0.00566809584938987,683369,167.529344558716,6,0.0035181880183954,1.2377646932781e-05
19,204335,3.14268235985025,0.00108970626045268,802704,204.296350479126,6,0.00409325900321617,1.67547692674103e-05
20,239502,3.14078379303722,0.000808860552574343,940284,235.908985137939,6,0.00366498534143714,1.34321175529491e-05
21,280721,3.13961549011296,0.00197716347683411,1101699,266.716241836548,6,0.00259250479197437,6.72108109641006e-06
22,329034,3.14434374563115,0.00275109204135734,1293249,349.216461181641,6,0.00186870594123173,3.49206189479476e-06
23,385662,3.14412101788613,0.00252836429633503,1515714,390.311717987061,6,0.00278743061843369,7.7697694525816e-06
24,452035,3.14141161635714,0.000181037232652752,1775039,439.54062461853,6,0.0025331843397834,6.41702289932384e-06
25,529831,3.14222459614481,0.0006319425550152,2081064,518.303871154785,6,0.00190266469243363,3.62013293183357e-06
26,621016,3.14540688162624,0.00381422803644506,2441689,612.302541732788,6,0.00219526229072764,4.81917652509077e-06
27,727895,3.14321708488175,0.00162443129195482,2859919,691.699743270874,6,0.00192242679655581,3.69572478811584e-06
28,853167,3.14468796847511,0.00309531488531187,3353684,816.137790679932,6,0.0021627488836013,4.67748273351869e-06
29,1000000,3.139952,0.00164065358979324,3924944,976.03702545166,6,0.00138763299662887,1.92552533333323e-06
0,10000,3.1296,0.0119926535897932,39124,15.6228542327881,7,0.00902106177539844,8.13795555555549e-05
1,11721,3.15160822455422,0.0100155709644257,46179,0,7,0.0140985787118496,0.000198769921694219
2,13738,3.14019507934197,0.00139757424782206,53929,15.6238079071045,7,0.0182829468340128,0.000334266144935337
3,16102,3.14619301950068,0.00460036591088991,63329,16.0925388336182,7,0.0134533755211227,0.000180993312912345
4,18873,3.10496476447836,0.0366278891114379,73254,15.6750679016113,7,0.0136881737509215,0.000187366100635416
5,22122,3.15559171865112,0.0139990650613233,87264,31.2466621398926,7,0.0110127033680221,0.000121279635472046
6,25929,3.13903351459755,0.00255913899223838,101744,15.6204700469971,7,0.00747372194897741,5.58565197706267e-05
7,30391,3.16146227501563,0.0198696214258364,120104,32.7961444854736,7,0.0135462124197493,0.00018349987092097
8,35622,3.14816686317444,0.00657420958464952,140184,30.2226543426514,7,0.0106690817822255,0.000113829306075816
9,41753,3.12676933394008,0.0148233196497171,163194,46.867847442627,7,0.00638948839888021,4.08255619994248e-05
10,48939,3.14464946157461,0.00305680798482006,192374,31.7142009735107,7,0.00829452752755447,6.87991869053588e-05
11,57361,3.14157702968916,1.5623900631613e-05,225259,63.1117820739746,7,0.00993396141104189,9.86835893160693e-05
12,67233,3.1466690464504,0.00507639286061058,264454,63.0240440368652,7,0.00667910247156906,4.46104098257199e-05
13,78804,3.14161717679306,2.45232032629516e-05,309469,78.7420272827148,7,0.00655714213104045,4.29961129266657e-05
14,92367,3.14181471737742,0.000222063787625104,362754,87.1269702911377,7,0.00335816783171773,1.12772911859837e-05
15,108263,3.14404736613617,0.00245471254637517,425484,117.555618286133,7,0.00612584353004378,3.75259589545793e-05
16,126896,3.13752994578237,0.00406270780742027,497679,125.564098358154,7,0.00408484408376809,1.66859511886952e-05
17,148735,3.14712744142266,0.00553478783287123,585114,141.149759292603,7,0.00320314642006448,1.02601469883719e-05
18,174332,3.14328981483606,0.00169716124626669,684974,157.369136810303,7,0.0035181880183954,1.2377646932781e-05
19,204335,3.13741649741845,0.00417615617133825,801359,204.230546951294,7,0.00409325900321617,1.67547692674103e-05
20,239502,3.13892994630525,0.00266270728454318,939729,219.949960708618,7,0.00366498534143714,1.34321175529491e-05
21,280721,3.14032794126553,0.00126471232426626,1101949,282.987117767334,7,0.00259250479197437,6.72108109641006e-06
22,329034,3.141438270817,0.000154382772795603,1292054,314.052104949951,7,0.00186870594123173,3.49206189479476e-06
23,385662,3.14210889327961,0.000516239689814294,1514744,377.36439704895,7,0.00278743061843369,7.7697694525816e-06
24,452035,3.14485382769033,0.00326117410054047,1776984,455.858469009399,7,0.0025331843397834,6.41702289932384e-06
25,529831,3.13820822111202,0.00338443247777827,2078404,534.852743148804,7,0.00190266469243363,3.62013293183357e-06
26,621016,3.14075643783735,0.000836215752442832,2438079,643.325090408325,7,0.00219526229072764,4.81917652509077e-06
27,727895,3.14215649235123,0.000563838761438739,2858954,769.662380218506,7,0.00192242679655581,3.69572478811584e-06
28,853167,3.14446292460913,0.00287027101933956,3353444,927.336454391479,7,0.0021627488836013,4.67748273351869e-06
29,1000000,3.14276,0.00116734641020676,3928454,1020.74837684631,7,0.00138763299662887,1.92552533333323e-06
0,10000,3.1408,0.000792653589793238,39264,5.04970550537109,8,0.00902106177539844,8.13795555555549e-05
1,11721,3.14717174302534,0.0055790894355459,46114,11.0466480255127,8,0.0140985787118496,0.000198769921694219
2,13738,3.15213277041782,0.0105401168280259,54134,15.6726837158203,8,0.0182829468340128,0.000334266144935337
3,16102,3.14047944354739,0.00111321004240782,63214,15.6266689300537,8,0.0134533755211227,0.000180993312912345
4,18873,3.14057118635087,0.00102146723892162,74094,15.6188011169434,8,0.0136881737509215,0.000187366100635416
5,22122,3.15107133170599,0.00947867811620079,87139,31.2464237213135,8,0.0110127033680221,0.000121279635472046
6,25929,3.13533109645571,0.00626155713408727,101624,16.09206199646,8,0.00747372194897741,5.58565197706267e-05
7,30391,3.16198874666842,0.0203960930786283,120124,31.2924385070801,8,0.0135462124197493,0.00018349987092097
8,35622,3.1285160855651,0.013076568024693,139309,46.8795299530029,8,0.0106690817822255,0.000113829306075816
9,41753,3.13385864488779,0.00773400870200074,163564,47.3799705505371,8,0.00638948839888021,4.08255619994248e-05
10,48939,3.13819244365435,0.00340020993544803,191979,46.8719005584717,8,0.00829452752755447,6.87991869053588e-05
11,57361,3.13251163682642,0.00908101676337808,224609,47.4085807800293,8,0.00993396141104189,9.86835893160693e-05
12,67233,3.14655005726355,0.00495740367375294,264444,78.5977840423584,8,0.00667910247156906,4.46104098257199e-05
13,78804,3.13872392264352,0.0028687309462726,309184,93.7867164611816,8,0.00655714213104045,4.29961129266657e-05
14,92367,3.13835027661394,0.00324237697585103,362354,94.2826271057129,8,0.00335816783171773,1.12772911859837e-05
15,108263,3.14970026694254,0.00810761335274484,426249,110.360145568848,8,0.00612584353004378,3.75259589545793e-05
16,126896,3.13979952086748,0.00179313272231121,498039,141.425848007202,8,0.00408484408376809,1.66859511886952e-05
17,148735,3.14508353783575,0.0034908842459549,584734,157.383918762207,8,0.00320314642006448,1.02601469883719e-05
18,174332,3.13691118096506,0.00468147262473806,683584,187.968254089355,8,0.0035181880183954,1.2377646932781e-05
19,204335,3.13618322852179,0.00540942506800304,801044,212.974309921265,8,0.00409325900321617,1.67547692674103e-05
20,239502,3.14654574909604,0.00495309550624771,942009,259.515047073364,8,0.00366498534143714,1.34321175529491e-05
21,280721,3.14582806416335,0.00423541057355756,1103879,298.435926437378,8,0.00259250479197437,6.72108109641006e-06
22,329034,3.14183944516372,0.000246791573928444,1292219,345.784187316895,8,0.00186870594123173,3.49206189479476e-06
23,385662,3.13942260321214,0.00217005037765411,1513449,399.250507354736,8,0.00278743061843369,7.7697694525816e-06
24,452035,3.14491576979659,0.00332311620679331,1777019,480.965614318848,8,0.0025331843397834,6.41702289932384e-06
25,529831,3.14270776908108,0.00111511549129111,2081384,601.797580718994,8,0.00190266469243363,3.62013293183357e-06
26,621016,3.13828307161168,0.00330958197811174,2436159,1068.75920295715,8,0.00219526229072764,4.81917652509077e-06
27,727895,3.14275547984256,0.00116282625276647,2859499,877.090692520142,8,0.00192242679655581,3.69572478811584e-06
28,853167,3.13923534313915,0.00235731045064229,3347869,1169.80457305908,8,0.0021627488836013,4.67748273351869e-06
29,1000000,3.14334,0.00174734641020676,3929179,1156.66961669922,8,0.00138763299662887,1.92552533333323e-06
0,10000,3.1296,0.0119926535897932,39124,15.6400203704834,9,0.00902106177539844,8.13795555555549e-05
1,11721,3.16764781162017,0.0260551580303757,46414,0,9,0.0140985787118496,0.000198769921694219
2,13738,3.1512592808269,0.00966662723711024,54119,35.7000827789307,9,0.0182829468340128,0.000334266144935337
3,16102,3.11514097627624,0.0264516773135543,62704,11.505126953125,9,0.0134533755211227,0.000180993312912345
4,18873,3.14756530493297,0.00597265134317979,74259,15.6278610229492,9,0.0136881737509215,0.000187366100635416
5,22122,3.12666124220233,0.0149314113874607,86464,31.2471389770508,9,0.0110127033680221,0.000121279635472046
6,25929,3.16016815149061,0.0185754979008157,102429,31.2464237213135,9,0.00747372194897741,5.58565197706267e-05
7,30391,3.15527623309532,0.013683579505531,119869,31.2910079956055,9,0.0135462124197493,0.00018349987092097
8,35622,3.13940823086856,0.00218442272122887,139794,36.6063117980957,9,0.0106690817822255,0.000113829306075816
9,41753,3.14736665628817,0.00577400269837767,164269,41.7718887329102,9,0.00638948839888021,4.08255619994248e-05
10,48939,3.14007233494759,0.00152031864220543,192094,36.7558002471924,9,0.00829452752755447,6.87991869053588e-05
11,57361,3.14757413573682,0.00598148214703143,225689,63.5001659393311,9,0.00993396141104189,9.86835893160693e-05
12,67233,3.14785893831898,0.00626628472918702,264554,80.5373191833496,9,0.00667910247156906,4.46104098257199e-05
13,78804,3.14786051469469,0.00626786110489231,310084,97.2881317138672,9,0.00655714213104045,4.29961129266657e-05
14,92367,3.14385007632596,0.00225742273616733,362989,94.2323207855225,9,0.00335816783171773,1.12772911859837e-05
15,108263,3.13052474067779,0.0110679129119993,423654,115.267515182495,9,0.00612584353004378,3.75259589545793e-05
